"source_name"	"object_name"	"attribute_name"	"attribute_class"	"attribute_preview"
"patient"	"patient"	"class"	"character"	"data.frame"
"patient"	"patient"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"class"	"character"	"data.frame"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"diagnoses_all"	"diagnoses_all"	"class"	"character"	"data.frame"
"diagnoses_all"	"diagnoses_all"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"class"	"character"	"data.frame"
"RKKP_LYFO"	"RKKP_LYFO"	"class"	"character"	"data.frame"
"RKKP_LYFO"	"RKKP_LYFO"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"RKKP_CLL"	"RKKP_CLL"	"class"	"character"	"data.frame"
"RKKP_CLL"	"RKKP_CLL"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SDS_epikur"	"SDS_epikur"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SDS_epikur"	"SDS_epikur"	"class"	"character"	"data.frame"
"SDS_ekokur"	"SDS_ekokur"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SDS_ekokur"	"SDS_ekokur"	"class"	"character"	"data.frame"
"SDS_indberetningmedpris"	"SDS_indberetningmedpris"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SDS_indberetningmedpris"	"SDS_indberetningmedpris"	"class"	"character"	"data.frame"
"SDS_t_adm"	"SDS_t_adm"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SDS_t_adm"	"SDS_t_adm"	"class"	"character"	"data.frame"
"SDS_t_diag"	"SDS_t_diag"	"names"	"character"	"v_recnum | c_diag | c_diagtype | c_tildiag | date_received | datetime_created"
"SDS_t_diag"	"SDS_t_diag"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SDS_t_diag"	"SDS_t_diag"	"class"	"character"	"data.frame"
"SDS_t_sksopr"	"SDS_t_sksopr"	"names"	"character"	"v_recnum | c_tilopr | c_oprart | d_odto | c_osgh | c_oafd"
"SDS_t_sksopr"	"SDS_t_sksopr"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SDS_t_sksopr"	"SDS_t_sksopr"	"class"	"character"	"data.frame"
"SDS_t_sksube"	"SDS_t_sksube"	"names"	"character"	"v_recnum | c_tilopr | c_oprart | d_odto | c_osgh | c_oafd"
"SDS_t_sksube"	"SDS_t_sksube"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SDS_t_sksube"	"SDS_t_sksube"	"class"	"character"	"data.frame"
"SDS_t_udtilsgh"	"SDS_t_udtilsgh"	"names"	"character"	"v_recnum | c_udtilsgh | c_udtilafd | date_received | datetime_created"
"SDS_t_udtilsgh"	"SDS_t_udtilsgh"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SDS_t_udtilsgh"	"SDS_t_udtilsgh"	"class"	"character"	"data.frame"
"SDS_pato"	"SDS_pato"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SDS_pato"	"SDS_pato"	"class"	"character"	"data.frame"
"SDS_lab_forsker"	"SDS_lab_forsker"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SDS_lab_forsker"	"SDS_lab_forsker"	"class"	"character"	"data.frame"
"SDS_t_tumor"	"SDS_t_tumor"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SDS_t_tumor"	"SDS_t_tumor"	"class"	"character"	"data.frame"
"SDS_kontakter"	"SDS_kontakter"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SDS_kontakter"	"SDS_kontakter"	"class"	"character"	"data.frame"
"SDS_forloeb"	"SDS_forloeb"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SDS_forloeb"	"SDS_forloeb"	"class"	"character"	"data.frame"
"SDS_diagnoser"	"SDS_diagnoser"	"names"	"character"	"dw_ek_kontakt | diagnosekode | diagnosetype | senere_afkraeftet | diagnosekode_parent | diagnosetype_parent"
"SDS_diagnoser"	"SDS_diagnoser"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SDS_diagnoser"	"SDS_diagnoser"	"class"	"character"	"data.frame"
"SDS_forloebsmarkoerer"	"SDS_forloebsmarkoerer"	"names"	"character"	"dw_ek_forloeb | dato_markoer | tidspunkt_markoer | markoer | lprindberetningssystem | date_received"
"SDS_forloebsmarkoerer"	"SDS_forloebsmarkoerer"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SDS_forloebsmarkoerer"	"SDS_forloebsmarkoerer"	"class"	"character"	"data.frame"
"SDS_organisationer"	"SDS_organisationer"	"names"	"character"	"kode | kodetype | region | region_tekst | sorenhed | sorenhed_tekst"
"SDS_organisationer"	"SDS_organisationer"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SDS_organisationer"	"SDS_organisationer"	"class"	"character"	"data.frame"
"SDS_resultater"	"SDS_resultater"	"names"	"character"	"dw_ek_kontakt | dw_ek_forloeb | triggertype | triggerkode | indberetningstype | indberetningsstatus"
"SDS_resultater"	"SDS_resultater"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SDS_resultater"	"SDS_resultater"	"class"	"character"	"data.frame"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SP_VitaleVaerdier"	"SP_VitaleVaerdier"	"class"	"character"	"data.frame"
"SP_Social_Hx"	"SP_Social_Hx"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SP_Social_Hx"	"SP_Social_Hx"	"class"	"character"	"data.frame"
"SP_PatientInfo"	"SP_PatientInfo"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SP_PatientInfo"	"SP_PatientInfo"	"class"	"character"	"data.frame"
"SP_AlleProvesvar"	"SP_AlleProvesvar"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SP_AlleProvesvar"	"SP_AlleProvesvar"	"class"	"character"	"data.frame"
"SP_Bloddyrkning_del1"	"SP_Bloddyrkning_del1"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SP_Bloddyrkning_del1"	"SP_Bloddyrkning_del1"	"class"	"character"	"data.frame"
"SP_Bloddyrkning_del2"	"SP_Bloddyrkning_del2"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SP_Bloddyrkning_del2"	"SP_Bloddyrkning_del2"	"class"	"character"	"data.frame"
"SP_Bloddyrkning_del3"	"SP_Bloddyrkning_del3"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SP_Bloddyrkning_del3"	"SP_Bloddyrkning_del3"	"class"	"character"	"data.frame"
"SP_Bloddyrkning_del4"	"SP_Bloddyrkning_del4"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SP_Bloddyrkning_del4"	"SP_Bloddyrkning_del4"	"class"	"character"	"data.frame"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SP_Flytningshistorik"	"SP_Flytningshistorik"	"class"	"character"	"data.frame"
"SP_ITAOphold"	"SP_ITAOphold"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SP_ITAOphold"	"SP_ITAOphold"	"class"	"character"	"data.frame"
"SP_OrdineretMedicin"	"SP_OrdineretMedicin"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SP_OrdineretMedicin"	"SP_OrdineretMedicin"	"class"	"character"	"data.frame"
"SP_Behandlingsniveau"	"SP_Behandlingsniveau"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"SP_Behandlingsniveau"	"SP_Behandlingsniveau"	"class"	"character"	"data.frame"
"PERSIMUNE_microbiology_analysis"	"PERSIMUNE_microbiology_analysis"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"PERSIMUNE_microbiology_analysis"	"PERSIMUNE_microbiology_analysis"	"class"	"character"	"data.frame"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"class"	"character"	"data.frame"
"PERSIMUNE_microbiology_culture_resistance"	"PERSIMUNE_microbiology_culture_resistance"	"names"	"character"	"id | culturefindingsid | refmicroorganism | laboratoryinternalsampleid | laboratoryinternalproductionid | patternheadline"
"PERSIMUNE_microbiology_culture_resistance"	"PERSIMUNE_microbiology_culture_resistance"	"class"	"character"	"data.frame"
"PERSIMUNE_microbiology_culture_resistance"	"PERSIMUNE_microbiology_culture_resistance"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"class"	"character"	"data.frame"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"class"	"character"	"data.frame"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"LAB_IGHVIMGT"	"LAB_IGHVIMGT"	"class"	"character"	"data.frame"
"LAB_IGHVIMGT"	"LAB_IGHVIMGT"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"class"	"character"	"data.frame"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"class"	"character"	"data.frame"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"class"	"character"	"data.frame"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"CLL_TREAT"	"CLL_TREAT"	"names"	"character"	"Diag_date_CLLreg | Correct_diagdate | BIRTHDATE | opslagsdato | hospital | Date_death_CLL_reg"
"CLL_TREAT"	"CLL_TREAT"	"class"	"character"	"data.frame"
"CLL_TREAT"	"CLL_TREAT"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
"CLL_TREAT_IBRUTINIB"	"CLL_TREAT_IBRUTINIB"	"names"	"character"	"birth_date | hospital | cll-reg | gender | alcohol | smoking"
"CLL_TREAT_IBRUTINIB"	"CLL_TREAT_IBRUTINIB"	"class"	"character"	"data.frame"
"CLL_TREAT_IBRUTINIB"	"CLL_TREAT_IBRUTINIB"	"row.names"	"integer"	"1 | 2 | 3 | 4 | 5 | 6"
