"original_filename"	"reference_filename"	"original_rows"	"curated_rows"	"removed_sensitive_rows"	"denominator_scope"	"evidence_scope"	"source_zip_filename"	"source_zip_sha256"
"cartography_part6_sp_behandlingskontakter_columns.csv"	"cartography_part6_sp_behandlingskontakter_columns.tsv"	"10"	"9"	"1"	"full_or_reference"	"full_or_reference"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part6_sp_behandlingskontakter_value_counts.csv"	"cartography_part6_sp_behandlingskontakter_value_counts.tsv"	"108"	"93"	"15"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part6_sp_billeddiagnostik_del1_columns.csv"	"cartography_part6_sp_billeddiagnostik_del1_columns.tsv"	"11"	"10"	"1"	"full_or_reference"	"full_or_reference"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_part6_sp_billeddiagnostik_del1_value_counts.csv"	"cartography_part6_sp_billeddiagnostik_del1_value_counts.tsv"	"117"	"102"	"15"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_patient_value_counts.csv"	"cartography_patient_value_counts.tsv"	"4"	"4"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_pato_top_snomed.csv"	"cartography_pato_top_snomed.tsv"	"80"	"80"	"0"	"top_n"	"top_n"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_persimune_biochem_top.csv"	"cartography_persimune_biochem_top.tsv"	"80"	"80"	"0"	"top_n"	"top_n"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_persimune_biochem_top_named.csv"	"cartography_persimune_biochem_top_named.tsv"	"80"	"80"	"0"	"top_n"	"top_n"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_persimune_biochemistry_value_counts.csv"	"cartography_persimune_biochemistry_value_counts.tsv"	"570"	"570"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_persimune_micro_analysis_value_counts.csv"	"cartography_persimune_micro_analysis_value_counts.tsv"	"923"	"923"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_persimune_micro_culture_value_counts.csv"	"cartography_persimune_micro_culture_value_counts.tsv"	"446"	"446"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_persimune_microbiology_analysis_value_counts.csv"	"cartography_persimune_microbiology_analysis_value_counts.tsv"	"923"	"923"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_persimune_microbiology_culture_resistance_value_counts.csv"	"cartography_persimune_microbiology_culture_resistance_value_counts.tsv"	"123"	"123"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_persimune_microbiology_culture_value_counts.csv"	"cartography_persimune_microbiology_culture_value_counts.tsv"	"446"	"446"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_persimune_microbiology_microscopy_value_counts.csv"	"cartography_persimune_microbiology_microscopy_value_counts.tsv"	"399"	"399"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_recommendations.csv"	"cartography_recommendations.tsv"	"4"	"4"	"0"	"scan"	"scan"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_repo_patch_scan.csv"	"cartography_repo_patch_scan.tsv"	"1"	"1"	"0"	"scan"	"scan"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_rkkp_cll_numeric_summary.csv"	"cartography_rkkp_cll_numeric_summary.tsv"	"10"	"9"	"1"	"full_or_reference"	"full_or_reference"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_rkkp_cll_value_counts.csv"	"cartography_rkkp_cll_value_counts.tsv"	"794"	"693"	"101"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_rkkp_damyda_value_counts.csv"	"cartography_rkkp_damyda_value_counts.tsv"	"728"	"728"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_rkkp_lyfo_numeric_summary.csv"	"cartography_rkkp_lyfo_numeric_summary.tsv"	"66"	"64"	"2"	"full_or_reference"	"full_or_reference"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_rkkp_lyfo_value_counts.csv"	"cartography_rkkp_lyfo_value_counts.tsv"	"3718"	"3567"	"151"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_run_summary.csv"	"cartography_run_summary.tsv"	"7"	"7"	"0"	"full_or_reference"	"full_or_reference"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_runtime_objects.csv"	"cartography_runtime_objects.tsv"	"242"	"242"	"0"	"scan"	"scan"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_schema_overview.csv"	"cartography_schema_overview.tsv"	"46"	"9"	"37"	"full_or_reference"	"full_or_reference"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sds_diagnoser_value_counts.csv"	"cartography_sds_diagnoser_value_counts.tsv"	"8"	"8"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sds_ekokur_value_counts.csv"	"cartography_sds_ekokur_value_counts.tsv"	"102"	"102"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sds_epikur_value_counts.csv"	"cartography_sds_epikur_value_counts.tsv"	"42"	"42"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sds_forloeb_value_counts.csv"	"cartography_sds_forloeb_value_counts.tsv"	"1"	"1"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sds_forloebsmarkoerer_value_counts.csv"	"cartography_sds_forloebsmarkoerer_value_counts.tsv"	"1"	"1"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sds_indberetningmedpris_value_counts.csv"	"cartography_sds_indberetningmedpris_value_counts.tsv"	"178"	"178"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sds_kontakter_value_counts.csv"	"cartography_sds_kontakter_value_counts.tsv"	"99"	"99"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sds_lab_forsker_value_counts.csv"	"cartography_sds_lab_forsker_value_counts.tsv"	"106"	"106"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sds_organisationer_value_counts.csv"	"cartography_sds_organisationer_value_counts.tsv"	"368"	"368"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sds_pato_value_counts.csv"	"cartography_sds_pato_value_counts.tsv"	"74"	"74"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sds_resultater_value_counts.csv"	"cartography_sds_resultater_value_counts.tsv"	"65"	"65"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sds_t_adm_value_counts.csv"	"cartography_sds_t_adm_value_counts.tsv"	"93"	"93"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sds_t_diag_value_counts.csv"	"cartography_sds_t_diag_value_counts.tsv"	"4"	"4"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sds_t_sksopr_value_counts.csv"	"cartography_sds_t_sksopr_value_counts.tsv"	"101"	"101"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sds_t_sksube_value_counts.csv"	"cartography_sds_t_sksube_value_counts.tsv"	"101"	"101"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sds_t_tumor_value_counts.csv"	"cartography_sds_t_tumor_value_counts.tsv"	"356"	"356"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sds_t_udtilsgh_value_counts.csv"	"cartography_sds_t_udtilsgh_value_counts.tsv"	"50"	"50"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sks_antineoplastic_top50.csv"	"cartography_sks_antineoplastic_top50.tsv"	"50"	"50"	"0"	"top_n"	"top_n"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sks_treatment_codes.csv"	"cartography_sks_treatment_codes.tsv"	"27"	"27"	"0"	"scan"	"scan"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_smr_atc_top.csv"	"cartography_smr_atc_top.tsv"	"50"	"50"	"0"	"top_n"	"top_n"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_smr_atc_top_named.csv"	"cartography_smr_atc_top_named.tsv"	"50"	"50"	"0"	"top_n"	"top_n"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sp_alleproevesvar_top_components.csv"	"cartography_sp_alleproevesvar_top_components.tsv"	"80"	"80"	"0"	"top_n"	"top_n"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sp_alleprovesvar_value_counts.csv"	"cartography_sp_alleprovesvar_value_counts.tsv"	"0"	"0"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sp_behandlingsniveau_value_counts.csv"	"cartography_sp_behandlingsniveau_value_counts.tsv"	"20"	"20"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sp_bloddyrkning_del1_value_counts.csv"	"cartography_sp_bloddyrkning_del1_value_counts.tsv"	"66"	"66"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sp_bloddyrkning_del2_value_counts.csv"	"cartography_sp_bloddyrkning_del2_value_counts.tsv"	"90"	"90"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sp_bloddyrkning_del3_value_counts.csv"	"cartography_sp_bloddyrkning_del3_value_counts.tsv"	"105"	"105"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sp_bloddyrkning_del4_value_counts.csv"	"cartography_sp_bloddyrkning_del4_value_counts.tsv"	"10"	"10"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sp_dnr_value_counts.csv"	"cartography_sp_dnr_value_counts.tsv"	"20"	"20"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sp_flytningshistorik_value_counts.csv"	"cartography_sp_flytningshistorik_value_counts.tsv"	"74"	"74"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sp_icu_value_counts.csv"	"cartography_sp_icu_value_counts.tsv"	"90"	"90"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sp_itaophold_value_counts.csv"	"cartography_sp_itaophold_value_counts.tsv"	"90"	"90"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sp_micro1_value_counts.csv"	"cartography_sp_micro1_value_counts.tsv"	"66"	"66"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sp_ordineretmedicin_value_counts.csv"	"cartography_sp_ordineretmedicin_value_counts.tsv"	"11"	"11"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sp_patientinfo_value_counts.csv"	"cartography_sp_patientinfo_value_counts.tsv"	"4"	"4"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sp_rx_med_atc_top.csv"	"cartography_sp_rx_med_atc_top.tsv"	"50"	"50"	"0"	"top_n"	"top_n"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sp_rx_med_atc_top_named.csv"	"cartography_sp_rx_med_atc_top_named.tsv"	"50"	"50"	"0"	"top_n"	"top_n"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sp_social_hx_candidate_columns.csv"	"cartography_sp_social_hx_candidate_columns.tsv"	"2"	"2"	"0"	"candidate_scan"	"candidate_scan"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sp_social_hx_resolution.csv"	"cartography_sp_social_hx_resolution.tsv"	"1"	"1"	"0"	"full_or_reference"	"full_or_reference"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sp_social_hx_value_counts.csv"	"cartography_sp_social_hx_value_counts.tsv"	"18"	"18"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sp_social_hx_value_frequencies.csv"	"cartography_sp_social_hx_value_frequencies.tsv"	"11"	"11"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sp_vitalevaerdier_descriptors.csv"	"cartography_sp_vitalevaerdier_descriptors.tsv"	"18"	"18"	"0"	"scan"	"scan"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sp_vitalevaerdier_domain_summary.csv"	"cartography_sp_vitalevaerdier_domain_summary.tsv"	"2"	"2"	"0"	"full_or_reference"	"full_or_reference"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sp_vitalevaerdier_resolution.csv"	"cartography_sp_vitalevaerdier_resolution.tsv"	"1"	"0"	"1"	"full_or_reference"	"full_or_reference"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_sp_vitalevaerdier_value_counts.csv"	"cartography_sp_vitalevaerdier_value_counts.tsv"	"79"	"79"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_t_dalycare_diagnoses_value_counts.csv"	"cartography_t_dalycare_diagnoses_value_counts.tsv"	"70"	"70"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_tumor_value_counts.csv"	"cartography_tumor_value_counts.tsv"	"356"	"356"	"0"	"aggregate_value_counts"	"aggregate_value_counts"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
"cartography_value_hits.csv"	"cartography_value_hits.tsv"	"660"	"660"	"0"	"candidate_scan"	"candidate_scan"	"DALY-CARE cartography(1).zip"	"8b0c73d7d4d63dc4664afb0a5e02257ad91a0bd1320e79eda887a9126b85ac6c"
